temperature,customers,marketing_spend,daily_revenue
21,840,412,127790
19,1514,497,228910
22,896,469,136180
27,2363,324,356180
21,1782,378,269090
23,1596,320,241170
26,2675,420,402990
33,515,439,78920
26,2954,332,444840
26,1996,316,301140
30,2407,379,362750
28,713,455,108670
19,2057,494,310360
30,1474,442,222800
32,2787,406,419730
28,1087,329,164770
20,1239,476,187650
25,767,494,116800
32,1611,394,243330
27,1060,431,160730
19,2213,394,333760
29,2397,308,361260
33,561,479,85820
34,1665,391,251410
26,2736,354,412140
19,2587,460,389860
30,2616,394,394100
19,655,361,100060
34,2588,348,389860
35,2797,354,421200
23,2623,467,395220
19,1022,351,155110
23,2694,431,405870
29,1213,336,183660
28,2395,462,360970
24,1050,420,159260
22,2210,426,333280
33,850,328,129170
30,912,467,138500
30,1455,383,219950
25,546,380,83650
20,2675,412,403050
18,1344,457,203420
30,1681,452,253850
22,2536,428,382180
33,797,374,121220
19,1197,389,181360
31,528,487,80890
23,1672,436,252570
19,2688,308,405010
